"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2828.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.056;   28;     14 mm;      0;      14;     47;  Rebar;    1
     2;    0.213;   34;     12 mm;      0;      12;     44;  Rebar;    1
     3;    0.355;   31;     12 mm;      0;      12;     82;  Rebar;    1
     4;    0.507;   32;     12 mm;      0;      12;     50;  Rebar;    1
     5;    0.666;   30;     14 mm;      0;      14;     50;  Rebar;    1
     6;    0.821;   32;     12 mm;      0;      12;     50;  Rebar;    1
     7;    0.977;   39;     12 mm;      0;      12;     25;  Rebar;    1
     8;    1.138;   34;     12 mm;      0;      12;     84;  Rebar;    1
     9;    1.283;   31;     14 mm;      0;      14;     50;  Rebar;    1
    10;    1.434;   32;     14 mm;      0;      14;     50;  Rebar;    1
    11;    1.594;   33;     12 mm;      0;      12;     78;  Rebar;    1
    12;    1.758;   30;     14 mm;      0;      14;     60;  Rebar;    1
    13;    1.906;   34;     12 mm;      0;      12;     49;  Rebar;    1
    14;    0.058;   28;     14 mm;      0;      14;     50;  Rebar;    2
    15;    0.212;   29;     12 mm;      0;      12;     99;  Rebar;    2
    16;    0.357;   27;     12 mm;      0;      12;     92;  Rebar;    2
    17;    0.507;   28;     12 mm;      0;      12;     91;  Rebar;    2
    18;    0.669;   27;     14 mm;      0;      14;     81;  Rebar;    2
    19;    0.820;   29;     12 mm;      0;      12;     89;  Rebar;    2
    20;    0.983;   32;     12 mm;      0;      12;     74;  Rebar;    2
    21;    1.138;   30;     12 mm;      0;      12;     70;  Rebar;    2
    22;    1.282;   27;     14 mm;      0;      14;     41;  Rebar;    2
    23;    1.434;   30;     14 mm;      0;      14;     48;  Rebar;    2
    24;    1.595;   32;     12 mm;      0;      12;     96;  Rebar;    2
    25;    1.761;   30;     14 mm;      0;      14;     94;  Rebar;    2
    26;    1.901;   32;     12 mm;      0;      12;     50;  Rebar;    2
    27;    0.058;   28;     14 mm;      0;      14;     50;  Rebar;    3
    28;    0.212;   26;     12 mm;      0;      12;     97;  Rebar;    3
    29;    0.359;   25;     12 mm;      0;      12;     87;  Rebar;    3
    30;    0.507;   25;     12 mm;      0;      12;     90;  Rebar;    3
    31;    0.670;   25;     14 mm;      0;      14;     89;  Rebar;    3
    32;    0.820;   27;     12 mm;      0;      12;     85;  Rebar;    3
    33;    0.985;   28;     12 mm;      0;      12;     86;  Rebar;    3
    34;    1.138;   27;     12 mm;      0;      12;     67;  Rebar;    3
    35;    1.281;   24;     14 mm;      0;      14;     77;  Rebar;    3
    36;    1.434;   29;     14 mm;      0;      14;     91;  Rebar;    3
    37;    1.597;   31;     12 mm;      0;      12;     90;  Rebar;    3
    38;    1.763;   30;     14 mm;      0;      14;     88;  Rebar;    3
    39;    1.898;   30;     12 mm;      0;      12;     50;  Rebar;    3
    40;    0.056;   28;     14 mm;      0;      14;     31;  Rebar;    4
    41;    0.213;   27;     12 mm;      0;      12;    100;  Rebar;    4
    42;    0.360;   26;     12 mm;      0;      12;     83;  Rebar;    4
    43;    0.507;   25;     12 mm;      0;      12;     29;  Rebar;    4
    44;    0.669;   25;     14 mm;      0;      14;     72;  Rebar;    4
    45;    0.821;   28;     12 mm;      0;      12;     71;  Rebar;    4
    46;    0.983;   30;     12 mm;      0;      12;     26;  Rebar;    4
    47;    1.138;   29;     12 mm;      0;      12;     74;  Rebar;    4
    48;    1.282;   25;     14 mm;      0;      14;     90;  Rebar;    4
    49;    1.433;   29;     14 mm;      0;      14;     42;  Rebar;    4
    50;    1.601;   29;     12 mm;      0;      12;     74;  Rebar;    4
    51;    1.762;   31;     14 mm;      0;      14;     72;  Rebar;    4
    52;    1.899;   31;     12 mm;      0;      12;     50;  Rebar;    4
    53;    0.055;   28;     14 mm;      0;      14;     32;  Rebar;    5
    54;    0.214;   29;     12 mm;      0;      12;     98;  Rebar;    5
    55;    0.360;   27;     12 mm;      0;      12;     76;  Rebar;    5
    56;    0.507;   26;     12 mm;      0;      12;     48;  Rebar;    5
    57;    0.667;   26;     14 mm;      0;      14;     74;  Rebar;    5
    58;    0.823;   30;     12 mm;      0;      12;     68;  Rebar;    5
    59;    0.979;   33;     12 mm;      0;      12;     27;  Rebar;    5
    60;    1.138;   30;     12 mm;      0;      12;     74;  Rebar;    5
    61;    1.284;   26;     14 mm;      0;      14;     50;  Rebar;    5
    62;    1.432;   29;     14 mm;      0;      14;     50;  Rebar;    5
    63;    1.604;   27;     12 mm;      0;      12;     49;  Rebar;    5
    64;    1.762;   33;     14 mm;      0;      14;     38;  Rebar;    5
    65;    1.900;   32;     12 mm;      0;      12;     50;  Rebar;    5
