"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2826.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.080;   29;     12 mm;      0;      12;     50;  Rebar;    1
     2;    0.245;   33;     12 mm;      0;      12;     89;  Rebar;    1
     3;    0.401;   38;     14 mm;      0;      14;     50;  Rebar;    1
     4;    0.560;   35;     12 mm;      0;      12;     95;  Rebar;    1
     5;    0.716;   37;     12 mm;      0;      12;     50;  Rebar;    1
     6;    0.876;   40;     14 mm;      0;      14;     85;  Rebar;    1
     7;    1.041;   38;     14 mm;      0;      14;     87;  Rebar;    1
     8;    1.206;   40;     14 mm;      0;      14;     69;  Rebar;    1
     9;    1.361;   39;     16 mm;      0;      16;     50;  Rebar;    1
    10;    1.523;   38;     14 mm;      0;      14;     50;  Rebar;    1
    11;    1.688;   37;     14 mm;      0;      14;     43;  Rebar;    1
    12;    1.871;   37;     16 mm;      0;      16;      6;  Rebar;    1
    13;    1.929;   31;     12 mm;      0;      12;     44;  Rebar;    1
    14;    0.082;   29;     12 mm;      0;      12;     50;  Rebar;    2
    15;    0.244;   32;     12 mm;      0;      12;     96;  Rebar;    2
    16;    0.397;   36;     14 mm;      0;      14;     98;  Rebar;    2
    17;    0.558;   36;     12 mm;      0;      12;     97;  Rebar;    2
    18;    0.717;   37;     12 mm;      0;      12;     92;  Rebar;    2
    19;    0.875;   39;     14 mm;      0;      14;     91;  Rebar;    2
    20;    1.045;   38;     14 mm;      0;      14;     97;  Rebar;    2
    21;    1.208;   38;     14 mm;      0;      14;     95;  Rebar;    2
    22;    1.364;   38;     16 mm;      0;      16;     93;  Rebar;    2
    23;    1.524;   38;     14 mm;      0;      14;     97;  Rebar;    2
    24;    1.692;   36;     14 mm;      0;      14;    100;  Rebar;    2
    25;    1.862;   39;     16 mm;      0;      16;      1;  Rebar;    2
    26;    1.923;   32;     12 mm;      0;      12;     25;  Rebar;    2
    27;    0.084;   28;     12 mm;      0;      12;     50;  Rebar;    3
    28;    0.242;   32;     12 mm;      0;      12;     98;  Rebar;    3
    29;    0.394;   34;     14 mm;      0;      14;     96;  Rebar;    3
    30;    0.555;   37;     12 mm;      0;      12;     92;  Rebar;    3
    31;    0.718;   37;     12 mm;      0;      12;     47;  Rebar;    3
    32;    0.875;   37;     14 mm;      0;      14;     93;  Rebar;    3
    33;    1.048;   37;     14 mm;      0;      14;    100;  Rebar;    3
    34;    1.210;   37;     14 mm;      0;      14;     49;  Rebar;    3
    35;    1.366;   38;     16 mm;      0;      16;     94;  Rebar;    3
    36;    1.525;   38;     14 mm;      0;      14;     86;  Rebar;    3
    37;    1.695;   36;     14 mm;      0;      14;     83;  Rebar;    3
    38;    1.860;   43;     16 mm;      0;      16;      1;  Rebar;    3
    39;    1.916;   30;     12 mm;      0;      12;     50;  Rebar;    3
    40;    0.084;   29;     12 mm;      0;      12;     50;  Rebar;    4
    41;    0.242;   32;     12 mm;      0;      12;     49;  Rebar;    4
    42;    0.397;   32;     14 mm;      0;      14;     90;  Rebar;    4
    43;    0.557;   36;     12 mm;      0;      12;     87;  Rebar;    4
    44;    0.720;   36;     12 mm;      0;      12;     97;  Rebar;    4
    45;    0.876;   37;     14 mm;      0;      14;     94;  Rebar;    4
    46;    1.047;   37;     14 mm;      0;      14;    100;  Rebar;    4
    47;    1.207;   38;     14 mm;      0;      14;    100;  Rebar;    4
    48;    1.365;   40;     16 mm;      0;      16;     95;  Rebar;    4
    49;    1.527;   39;     14 mm;      0;      14;     91;  Rebar;    4
    50;    1.698;   37;     14 mm;      0;      14;     69;  Rebar;    4
    51;    1.875;   43;     16 mm;      0;      16;     51;  Rebar;    4
    52;    1.909;   29;     12 mm;      0;      12;     50;  Rebar;    4
    53;    0.084;   29;     12 mm;      0;      12;     50;  Rebar;    5
    54;    0.242;   33;     12 mm;      0;      12;     50;  Rebar;    5
    55;    0.399;   30;     14 mm;      0;      14;     93;  Rebar;    5
    56;    0.492;   55;     12 mm;      0;      12;      1;  Rebar;    5
    57;    0.560;   36;     12 mm;      0;      12;     90;  Rebar;    5
    58;    0.721;   36;     12 mm;      0;      12;     50;  Rebar;    5
    59;    0.877;   37;     14 mm;      0;      14;     86;  Rebar;    5
    60;    1.045;   38;     14 mm;      0;      14;     91;  Rebar;    5
    61;    1.204;   39;     14 mm;      0;      14;     81;  Rebar;    5
    62;    1.365;   40;     16 mm;      0;      16;     80;  Rebar;    5
    63;    1.529;   39;     14 mm;      0;      14;     84;  Rebar;    5
    64;    1.702;   38;     14 mm;      0;      14;     26;  Rebar;    5
    65;    1.901;   27;     12 mm;      0;      12;     11;  Rebar;    5
    66;    1.995;   71;     12 mm;      0;      12;     12;  Rebar;    5
