"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2824.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.108;   40;      8 mm;      0;       8;     50;  Rebar;    1
     2;    0.348;   39;      8 mm;      0;       8;      0;  Rebar;    1
     3;    0.595;   40;      8 mm;      0;       8;      0;  Rebar;    1
     4;    0.801;   83;      6 mm;      0;       6;      6;  Rebar;    1
     5;    0.110;   50;      8 mm;      0;       8;     50;  Rebar;    2
     6;    0.355;   42;      8 mm;      0;       8;     14;  Rebar;    2
     7;    0.600;   40;      8 mm;      0;       8;     55;  Rebar;    2
     8;    0.723;   60;      6 mm;      0;       6;      2;  Rebar;    2
     9;    0.774;   74;      6 mm;      0;       6;      3;  Rebar;    2
    10;    0.802;   61;      6 mm;      0;       6;      1;  Rebar;    2
    11;    0.111;   49;      8 mm;      0;       8;     50;  Rebar;    3
    12;    0.361;   40;      8 mm;      0;       8;      0;  Rebar;    3
    13;    0.607;   36;      8 mm;      0;       8;      0;  Rebar;    3
    14;    0.688;   48;      6 mm;      0;       6;      1;  Rebar;    3
    15;    0.730;   60;      6 mm;      0;       6;      2;  Rebar;    3
    16;    0.764;   57;      6 mm;      0;       6;      6;  Rebar;    3
    17;    0.799;   56;      6 mm;      0;       6;      1;  Rebar;    3
    18;    0.115;   48;      8 mm;      0;       8;     50;  Rebar;    4
    19;    0.239;   68;      8 mm;      0;       8;      1;  Rebar;    4
    20;    0.359;   45;      8 mm;      0;       8;     67;  Rebar;    4
    21;    0.608;   41;      8 mm;      0;       8;     64;  Rebar;    4
    22;    0.705;   64;      6 mm;      0;       6;      1;  Rebar;    4
    23;    0.120;   48;      8 mm;      0;       8;     13;  Rebar;    5
    24;    0.235;   57;      8 mm;      0;       8;      2;  Rebar;    5
    25;    0.356;   45;      8 mm;      0;       8;      0;  Rebar;    5
    26;    0.610;   46;      8 mm;      0;       8;     50;  Rebar;    5
