"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2832.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.027;   27;     14 mm;      0;      14;      6;  Rebar;    1
     2;    0.188;   23;     14 mm;      0;      14;     70;  Rebar;    1
     3;    0.338;   25;     12 mm;      0;      12;     86;  Rebar;    1
     4;    0.516;   26;     12 mm;      0;      12;     77;  Rebar;    1
     5;    0.586;   45;     12 mm;      0;      12;      9;  Rebar;    1
     6;    0.613;   55;     12 mm;      0;      12;     46;  Rebar;    1
     7;    0.655;   25;     12 mm;      0;      12;     84;  Rebar;    1
     8;    0.807;   25;     12 mm;      0;      12;     81;  Rebar;    1
     9;    0.970;   29;     12 mm;      0;      12;     50;  Rebar;    1
    10;    1.117;   29;     14 mm;      0;      14;     89;  Rebar;    1
    11;    1.275;   28;     12 mm;      0;      12;     50;  Rebar;    1
    12;    1.437;   22;     14 mm;      0;      14;     81;  Rebar;    1
    13;    1.583;   21;     14 mm;      0;      14;     53;  Rebar;    1
    14;    1.745;   18;     14 mm;      0;      14;     50;  Rebar;    1
    15;    0.022;   25;     14 mm;      0;      14;      8;  Rebar;    2
    16;    0.196;   23;     14 mm;      0;      14;      9;  Rebar;    2
    17;    0.339;   23;     12 mm;      0;      12;     49;  Rebar;    2
    18;    0.518;   24;     12 mm;      0;      12;     82;  Rebar;    2
    19;    0.658;   22;     12 mm;      0;      12;     82;  Rebar;    2
    20;    0.810;   25;     12 mm;      0;      12;     79;  Rebar;    2
    21;    0.969;   24;     12 mm;      0;      12;     81;  Rebar;    2
    22;    1.122;   26;     14 mm;      0;      14;     81;  Rebar;    2
    23;    1.277;   24;     12 mm;      0;      12;     70;  Rebar;    2
    24;    1.436;   22;     14 mm;      0;      14;     56;  Rebar;    2
    25;    1.460;   53;     14 mm;      0;      14;     21;  Rebar;    2
    26;    1.582;   18;     14 mm;      0;      14;     51;  Rebar;    2
    27;    1.741;   16;     14 mm;      0;      14;     50;  Rebar;    2
    28;    0.018;   23;     14 mm;      0;      14;     13;  Rebar;    3
    29;    0.188;   21;     14 mm;      0;      14;     73;  Rebar;    3
    30;    0.339;   22;     12 mm;      0;      12;     83;  Rebar;    3
    31;    0.519;   21;     12 mm;      0;      12;     79;  Rebar;    3
    32;    0.660;   20;     12 mm;      0;      12;     72;  Rebar;    3
    33;    0.813;   24;     12 mm;      0;      12;     71;  Rebar;    3
    34;    0.968;   21;     12 mm;      0;      12;     81;  Rebar;    3
    35;    1.124;   23;     14 mm;      0;      14;     48;  Rebar;    3
    36;    1.284;   22;     12 mm;      0;      12;     39;  Rebar;    3
    37;    1.397;   31;     12 mm;      0;      12;      1;  Rebar;    3
    38;    1.438;   20;     14 mm;      0;      14;     74;  Rebar;    3
    39;    1.498;   36;     16 mm;      0;      16;      7;  Rebar;    3
    40;    1.581;   16;     14 mm;      0;      14;     91;  Rebar;    3
    41;    1.680;   31;     12 mm;      0;      12;      2;  Rebar;    3
    42;    1.739;   15;     14 mm;      0;      14;     69;  Rebar;    3
    43;    1.850;   33;     12 mm;      0;      12;      0;   Mesh;    3
    44;    0.020;   24;     14 mm;      0;      14;     21;  Rebar;    4
    45;    0.193;   23;     14 mm;      0;      14;     81;  Rebar;    4
    46;    0.340;   23;     12 mm;      0;      12;     90;  Rebar;    4
    47;    0.519;   23;     12 mm;      0;      12;     45;  Rebar;    4
    48;    0.661;   22;     12 mm;      0;      12;     87;  Rebar;    4
    49;    0.814;   25;     12 mm;      0;      12;     83;  Rebar;    4
    50;    0.968;   23;     12 mm;      0;      12;     82;  Rebar;    4
    51;    1.127;   22;     14 mm;      0;      14;     79;  Rebar;    4
    52;    1.278;   24;     12 mm;      0;      12;     26;  Rebar;    4
    53;    1.437;   20;     14 mm;      0;      14;     48;  Rebar;    4
    54;    1.580;   17;     14 mm;      0;      14;     74;  Rebar;    4
    55;    1.737;   18;     14 mm;      0;      14;     24;  Rebar;    4
    56;    0.023;   24;     14 mm;      0;      14;     20;  Rebar;    5
    57;    0.198;   25;     14 mm;      0;      14;     50;  Rebar;    5
    58;    0.342;   25;     12 mm;      0;      12;     50;  Rebar;    5
    59;    0.517;   26;     12 mm;      0;      12;     50;  Rebar;    5
    60;    0.663;   24;     12 mm;      0;      12;     87;  Rebar;    5
    61;    0.815;   26;     12 mm;      0;      12;     50;  Rebar;    5
    62;    0.969;   26;     12 mm;      0;      12;     50;  Rebar;    5
    63;    1.130;   21;     14 mm;      0;      14;     75;  Rebar;    5
    64;    1.277;   29;     12 mm;      0;      12;     59;  Rebar;    5
    65;    1.437;   21;     14 mm;      0;      14;     76;  Rebar;    5
    66;    1.579;   19;     14 mm;      0;      14;     87;  Rebar;    5
    67;    1.736;   21;     14 mm;      0;      14;     50;  Rebar;    5
