"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2827.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.098;   37;     14 mm;      0;      14;     37;  Rebar;    1
     2;    0.214;   34;     20 mm;      0;      20;     47;  Rebar;    1
     3;    0.303;   38;     20 mm;      0;      20;      6;  Rebar;    1
     4;    0.100;   40;     14 mm;      0;      14;     44;  Rebar;    2
     5;    0.216;   36;     20 mm;      0;      20;     60;  Rebar;    2
     6;    0.306;   39;     20 mm;      0;      20;     16;  Rebar;    2
     7;    0.104;   44;     14 mm;      0;      14;     47;  Rebar;    3
     8;    0.218;   37;     20 mm;      0;      20;     42;  Rebar;    3
     9;    0.312;   38;     20 mm;      0;      20;      5;  Rebar;    3
    10;    0.105;   43;     14 mm;      0;      14;     24;  Rebar;    4
    11;    0.217;   38;     16 mm;      0;      16;     45;  Rebar;    4
    12;    0.312;   38;     16 mm;      0;      16;      6;  Rebar;    4
    13;    0.113;   43;     14 mm;      0;      14;     22;  Rebar;    5
    14;    0.216;   38;     16 mm;      0;      16;     38;  Rebar;    5
    15;    0.310;   39;     16 mm;      0;      16;      2;  Rebar;    5
