"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2829.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.200;   34;     20 mm;      0;      20;     50;  Rebar;    1
     2;    0.301;   38;     20 mm;      0;      20;      6;  Rebar;    1
     3;    0.095;   51;     14 mm;      0;      14;      0;  Rebar;    2
     4;    0.107;   56;     14 mm;      0;      14;     52;  Rebar;    2
     5;    0.201;   42;     16 mm;      0;      16;     85;  Rebar;    2
     6;    0.298;   47;     20 mm;      0;      20;      9;  Rebar;    2
     7;    0.108;   55;     14 mm;      0;      14;     18;  Rebar;    3
     8;    0.205;   50;     16 mm;      0;      16;     78;  Rebar;    3
     9;    0.299;   53;     16 mm;      0;      16;      6;  Rebar;    3
    10;    0.103;   54;     14 mm;      0;      14;     24;  Rebar;    4
    11;    0.206;   49;     16 mm;      0;      16;     94;  Rebar;    4
    12;    0.300;   52;     20 mm;      0;      20;     10;  Rebar;    4
    13;    0.104;   54;     14 mm;      0;      14;      2;  Rebar;    5
    14;    0.207;   49;     16 mm;      0;      16;     68;  Rebar;    5
    15;    0.299;   52;     20 mm;      0;      20;      3;  Rebar;    5
