"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2833.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.053;   58;     12 mm;      0;      12;      0;   Mesh;    1
     2;    0.280;   22;     16 mm;      0;      16;     19;  Rebar;    1
     3;    0.546;   17;     16 mm;      0;      16;      1;  Rebar;    1
     4;    0.706;   41;     14 mm;      0;      14;     12;  Rebar;    1
     5;    0.811;   18;     16 mm;      0;      16;     50;  Rebar;    1
     6;    1.101;   26;     16 mm;      0;      16;     19;  Rebar;    1
     7;    1.402;   29;     16 mm;      0;      16;     35;  Rebar;    1
     8;    1.691;   34;     16 mm;      0;      16;     72;  Rebar;    1
     9;    1.799;   55;     16 mm;      0;      16;      0;  Rebar;    1
    10;    1.994;   34;     16 mm;      0;      16;      0;  Rebar;    1
    11;    2.161;   48;     16 mm;      0;      16;      1;  Rebar;    1
    12;    2.296;   38;     16 mm;      0;      16;     25;  Rebar;    1
    13;    0.146;   48;     16 mm;      0;      16;      1;  Rebar;    2
    14;    0.280;   17;     16 mm;      0;      16;      0;  Rebar;    2
    15;    0.390;   28;     16 mm;      0;      16;      4;  Rebar;    2
    16;    0.549;   18;     16 mm;      0;      16;     76;  Rebar;    2
    17;    0.706;   43;     14 mm;      0;      14;      4;  Rebar;    2
    18;    0.814;   18;     16 mm;      0;      16;     60;  Rebar;    2
    19;    0.937;   47;     16 mm;      0;      16;      0;  Rebar;    2
    20;    1.003;   42;     16 mm;      0;      16;      1;  Rebar;    2
    21;    1.106;   24;     16 mm;      0;      16;     40;  Rebar;    2
    22;    1.198;   47;     14 mm;      0;      14;      3;  Rebar;    2
    23;    1.267;   52;     12 mm;      0;      12;      4;  Rebar;    2
    24;    1.296;   47;     12 mm;      0;      12;      2;  Rebar;    2
    25;    1.402;   29;     16 mm;      0;      16;     65;  Rebar;    2
    26;    1.464;   48;     16 mm;      0;      16;      3;  Rebar;    2
    27;    1.520;   56;     16 mm;      0;      16;      7;  Rebar;    2
    28;    1.690;   34;     16 mm;      0;      16;     23;  Rebar;    2
    29;    1.831;   63;     14 mm;      0;      14;      0;  Rebar;    2
