"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2833.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
    30;    1.999;   37;     16 mm;      0;      16;      0;  Rebar;    2
    31;    2.162;   56;     16 mm;      0;      16;      0;  Rebar;    2
    32;    2.300;   38;     16 mm;      0;      16;     25;  Rebar;    2
    33;    0.145;   42;     16 mm;      0;      16;      1;  Rebar;    3
    34;    0.196;   30;     16 mm;      0;      16;      0;  Rebar;    3
    35;    0.279;   15;     16 mm;      0;      16;      0;  Rebar;    3
    36;    0.390;   25;     16 mm;      0;      16;     11;  Rebar;    3
    37;    0.548;   18;     16 mm;      0;      16;     39;  Rebar;    3
    38;    0.639;   39;     16 mm;      0;      16;      0;  Rebar;    3
    39;    0.689;   34;     14 mm;      0;      14;     10;  Rebar;    3
    40;    0.721;   33;     14 mm;      0;      14;      7;  Rebar;    3
    41;    0.818;   18;     16 mm;      0;      16;     62;  Rebar;    3
    42;    0.908;   41;     14 mm;      0;      14;      2;  Rebar;    3
    43;    0.949;   36;     16 mm;      0;      16;      3;  Rebar;    3
    44;    1.004;   35;     16 mm;      0;      16;      1;  Rebar;    3
    45;    1.101;   22;     16 mm;      0;      16;     41;  Rebar;    3
    46;    1.198;   41;     14 mm;      0;      14;      1;  Rebar;    3
    47;    1.259;   46;     14 mm;      0;      14;      1;  Rebar;    3
    48;    1.298;   38;     12 mm;      0;      12;      5;  Rebar;    3
    49;    1.402;   29;     16 mm;      0;      16;     47;  Rebar;    3
    50;    1.458;   41;     16 mm;      0;      16;      3;  Rebar;    3
    51;    1.516;   45;     16 mm;      0;      16;      5;  Rebar;    3
    52;    1.690;   36;     16 mm;      0;      16;      0;  Rebar;    3
    53;    1.995;   39;     16 mm;      0;      16;     26;  Rebar;    3
    54;    2.042;   35;     12 mm;      0;      12;     28;  Rebar;    3
    55;    2.101;   32;     14 mm;      0;      14;     89;  Rebar;    3
    56;    2.299;   38;     16 mm;      0;      16;     25;  Rebar;    3
    57;    0.055;   67;     12 mm;      0;      12;      9;  Rebar;    4
    58;    0.130;   39;     16 mm;      0;      16;      0;  Rebar;    4
    59;    0.278;   16;     16 mm;      0;      16;      0;  Rebar;    4
    60;    0.392;   28;     16 mm;      0;      16;     12;  Rebar;    4
    61;    0.547;   18;     16 mm;      0;      16;     43;  Rebar;    4
    62;    0.683;   47;     14 mm;      0;      14;      0;  Rebar;    4
    63;    0.723;   39;     14 mm;      0;      14;      3;  Rebar;    4
    64;    0.818;   20;     16 mm;      0;      16;     38;  Rebar;    4
    65;    0.908;   47;     14 mm;      0;      14;      1;  Rebar;    4
    66;    0.950;   46;     16 mm;      0;      16;      2;  Rebar;    4
    67;    1.004;   44;     16 mm;      0;      16;      2;  Rebar;    4
    68;    1.103;   24;     16 mm;      0;      16;     43;  Rebar;    4
    69;    1.198;   50;     14 mm;      0;      14;      2;  Rebar;    4
    70;    1.258;   51;     14 mm;      0;      14;      1;  Rebar;    4
    71;    1.298;   47;     12 mm;      0;      12;      3;  Rebar;    4
    72;    1.407;   27;     16 mm;      0;      16;      0;  Rebar;    4
    73;    1.515;   57;     16 mm;      0;      16;      0;  Rebar;    4
    74;    1.586;   61;     12 mm;      0;      12;      2;  Rebar;    4
    75;    1.691;   33;     16 mm;      0;      16;      8;  Rebar;    4
    76;    1.827;   70;     14 mm;      0;      14;      2;  Rebar;    4
    77;    1.995;   37;     16 mm;      0;      16;     22;  Rebar;    4
    78;    2.101;   42;     14 mm;      0;      14;     25;  Rebar;    4
    79;    2.293;   40;     16 mm;      0;      16;     25;  Rebar;    4
    80;    0.049;   58;     12 mm;      0;      12;      0;   Mesh;    5
    81;    0.276;   19;     16 mm;      0;      16;      0;  Rebar;    5
    82;    0.406;   55;     16 mm;      0;      16;      0;  Rebar;    5
    83;    0.545;   19;     16 mm;      0;      16;      0;  Rebar;    5
    84;    0.821;   22;     16 mm;      0;      16;      0;  Rebar;    5
    85;    0.943;   74;     16 mm;      0;      16;      0;  Rebar;    5
    86;    1.106;   26;     16 mm;      0;      16;     69;  Rebar;    5
    87;    1.410;   28;     16 mm;      0;      16;    100;  Rebar;    5
    88;    1.694;   35;     16 mm;      0;      16;     80;  Rebar;    5
    89;    1.993;   36;     16 mm;      0;      16;     50;  Rebar;    5
    90;    2.289;   42;     16 mm;      0;      16;     25;  Rebar;    5
