"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2836.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.069;   27;     12 mm;      0;      12;      6;  Rebar;    1
     2;    0.137;    9;     12 mm;      0;      12;     55;  Rebar;    1
     3;    0.338;   12;     12 mm;      0;      12;     65;  Rebar;    1
     4;    0.537;   11;     14 mm;      0;      14;     79;  Rebar;    1
     5;    0.767;   12;     12 mm;      0;      12;     73;  Rebar;    1
     6;    0.955;   10;     12 mm;      0;      12;     76;  Rebar;    1
     7;    1.035;   45;     16 mm;      0;      16;      3;  Rebar;    1
     8;    1.073;   42;     16 mm;      0;      16;      1;  Rebar;    1
     9;    1.179;   12;     12 mm;      0;      12;     45;  Rebar;    1
    10;    1.339;   18;     14 mm;      0;      14;     11;  Rebar;    1
    11;    1.583;   19;     14 mm;      0;      14;     33;  Rebar;    1
    12;    1.768;   17;     12 mm;      0;      12;     50;  Rebar;    1
    13;    0.069;   35;     12 mm;      0;      12;      1;  Rebar;    2
    14;    0.137;   12;     12 mm;      0;      12;     71;  Rebar;    2
    15;    0.338;   14;     12 mm;      0;      12;     74;  Rebar;    2
    16;    0.540;   13;     14 mm;      0;      14;     77;  Rebar;    2
    17;    0.767;   11;     12 mm;      0;      12;     72;  Rebar;    2
    18;    0.954;   13;     12 mm;      0;      12;     71;  Rebar;    2
    19;    1.179;   16;     12 mm;      0;      12;     55;  Rebar;    2
    20;    1.343;   22;     14 mm;      0;      14;     52;  Rebar;    2
    21;    1.462;   64;     12 mm;      0;      12;      1;  Rebar;    2
    22;    1.586;   23;     14 mm;      0;      14;     41;  Rebar;    2
    23;    1.770;   21;     12 mm;      0;      12;     50;  Rebar;    2
    24;    0.035;   68;     12 mm;      0;      12;      0;   Mesh;    3
    25;    0.137;   17;     12 mm;      0;      12;     50;  Rebar;    3
    26;    0.338;   16;     12 mm;      0;      12;     74;  Rebar;    3
    27;    0.543;   14;     14 mm;      0;      14;     68;  Rebar;    3
    28;    0.766;   10;     12 mm;      0;      12;     64;  Rebar;    3
    29;    0.951;   21;     12 mm;      0;      12;     87;  Rebar;    3
    30;    1.174;   24;     12 mm;      0;      12;     74;  Rebar;    3
    31;    1.351;   27;     14 mm;      0;      14;     57;  Rebar;    3
    32;    1.535;   58;     12 mm;      0;      12;      1;  Rebar;    3
    33;    1.601;   30;     12 mm;      0;      12;     72;  Rebar;    3
    34;    1.780;   30;     12 mm;      0;      12;     50;  Rebar;    3
    35;    0.058;   34;     12 mm;      0;      12;     25;  Rebar;    4
    36;    0.135;   17;     12 mm;      0;      12;     50;  Rebar;    4
    37;    0.336;   16;     12 mm;      0;      12;     65;  Rebar;    4
    38;    0.542;   13;     14 mm;      0;      14;     62;  Rebar;    4
    39;    0.766;    9;     12 mm;      0;      12;    100;  Rebar;    4
    40;    0.951;   22;     12 mm;      0;      12;     86;  Rebar;    4
    41;    1.170;   27;     12 mm;      0;      12;     75;  Rebar;    4
    42;    1.353;   31;     14 mm;      0;      14;     23;  Rebar;    4
    43;    1.544;   27;     12 mm;      0;      12;      0;  Rebar;    4
    44;    1.608;   36;     12 mm;      0;      12;      8;  Rebar;    4
    45;    1.783;   34;     12 mm;      0;      12;     50;  Rebar;    4
    46;    0.058;   27;     12 mm;      0;      12;     50;  Rebar;    5
    47;    0.134;   17;     12 mm;      0;      12;     50;  Rebar;    5
    48;    0.335;   17;     12 mm;      0;      12;     53;  Rebar;    5
    49;    0.540;   12;     14 mm;      0;      14;    100;  Rebar;    5
    50;    0.766;    8;     12 mm;      0;      12;    100;  Rebar;    5
    51;    0.952;   23;     12 mm;      0;      12;     83;  Rebar;    5
    52;    1.165;   28;     12 mm;      0;      12;     67;  Rebar;    5
    53;    1.353;   34;     14 mm;      0;      14;      0;  Rebar;    5
    54;    1.544;   21;     12 mm;      0;      12;      0;  Rebar;    5
    55;    1.622;   41;     12 mm;      0;      12;      0;  Rebar;    5
    56;    1.788;   39;     12 mm;      0;      12;     50;  Rebar;    5
